topic_id,label,doc_count,keywords
-1,Outliers (unassigned),167,"hydrogen production, plastic waste, waste treatment, resources hydrogen, carbon waste, treatment plant, complexity hydrogen, hydrogen, experience hydrogen, textile waste"
0,Limited Carbon Steel Availability,456,"carbon steel, steel production, carbon technologies, low carbon, production technologies, decarbonisation limited, steel, production processes, decarbonisation, limited availability"
1,Carbon Certification & Labeling Costs,380,"carbon certification, certification labeling, carbon footprint, low carbon, managing carbon, certification, reducing emissions, carbon climate, infrastructure difficulty, costs"
2,Waste Treatment Complexity Integration,215,"energy systems, waste treatment, treatment plant, waste complexity, waste biomass, construction waste, industrial waste, solid waste, waste ash, complexity integrating"
3,Industrial Waste Biomass Conversion,65,"hydrogen production, resources hydrogen, waste biomass, waste resources, hydrogen, treatment plant, waste treatment, industrial waste, , "
4,Renewable Energy Availability Limitations,64,"carbon energy, low carbon, energy limited, renewable energy, availability renewable, fuel transition, limited availability, availability low, energy production, fossil fuels"
5,Industrial Carbon Technology Limitations,46,"carbon technologies, low carbon, industrial processes, carbon technology, production technologies, technologies industrial, technologies limited, co2 emissions, technologies waste, decarbonization"
6,Energy Consumption & Efficiency,45,"energy consumption, energy efficiency, energy intensity, energy management, energy systems, energy costs, energy complexity, energy, reducing energy, energy existing"
7,Carbon Certification Labeling Schemes,35,"carbon certification, certification labeling, low carbon, carbon climate, certification, labeling schemes, certifications, standards certifications, , "
8,High Carbon Capture Costs,30,"carbon capture, costs carbon, high costs, high cost, co2, costs, carbon, implementing carbon, cost, low cost"
10,Carbon Education & Training,27,"carbon education, low carbon, decarbonisation projects, education programs, carbon technologies, education training, decarbonisation, costs climate, climate change, training education"
11,Climate Change Stakeholder Complexity,26,"carbon public, carbon climate, climate change, stakeholders, complexity climate, low carbon, , , , "
12,High Energy Consumption Costs,25,"carbon technologies, high costs, carbon energy, costs implementing, energy intensity, low carbon, energy consumption, costs low, consumption emissions, emissions high"
13,Decarbonizing High CO2 Emissions,24,"carbon emissions, co2 emissions, decarbonizing, cost emissions, co2 emission, emissions trading, reduce energy, , , "
14,Carbon Pricing & Leakage,23,"carbon pricing, implementing carbon, costs carbon, complexity carbon, carbon emissions, managing carbon, carbon leakage, complexity uncertainty, carbon, pricing"
15,Decarbonisation Policy Limitations,22,"low carbon, carbon policies, benefits decarbonisation, carbon technologies, decarbonisation policies, decarbonisation technologies, decarbonisation limited, public awareness, , "
16,Greenhouse Gas Emissions Reduction,20,"gas emissions, ghg emissions, air emissions, greenhouse gas, emissions reduction, reduce greenhouse, scope emissions, emissions intensity, , "
