company_id,company,year,motivators,topic
13,SIDENOR,2022,Our commitment to minimize our carbon emissions,0
13,SIDENOR,2022,Our commitment to minimize our carbon footprint,0
13,SIDENOR,2022,The focus on GHG emissions reduction,0
13,SIDENOR,2024,Transition plan to reach climate neutrality by 2050,3
13,SIDENOR,2024,"Delegated Regulation (EU) 2020/1818, Article 12.1 (d) to (g), and Article 12.2",2
13,SIDENOR,2024,GHG emission reduction targets,0
13,SIDENOR,2024,Managing GHG emissions,0
13,SIDENOR,2024,"Gross Scope 1, 2, 3 and Total GHG emissions",0
5,SSAB,2014,Excess capacity in the steel industry,1
5,SSAB,2014,Consolidation in the steel industry,1
5,SSAB,2014,Changed growth patterns globally,1
5,SSAB,2014,Increased demand for steel in mature markets,1
5,SSAB,2014,Plans for consolidation and capacity downsizing among less competitive and environmentally sound mills,1
5,SSAB,2014,Pressure from authorities to address excess capacity and environmental issues,2
5,SSAB,2015,"Demand for steel has improved, forecasted to grow in Europe and North America.",1
5,SSAB,2015,World needs stronger steels.,1
5,SSAB,2015,Ability to innovate.,0
5,SSAB,2015,Positioning for future earnings.,4
5,SSAB,2015,Contribution to a more sustainable world.,4
5,SSAB,2015,Road to leading profitability in the steel industry.,1
5,SSAB,2016,"A stronger, lighter and more sustainable world.",4
5,SSAB,2016,"Externally Developed Economic, Environmental and Social Charters, Principles, or Other Initiatives to Which the Organization Subscribes or Which It Endorses.",4
5,SSAB,2016,"Organization’s values, principles, standards and norms of behavior such as codes of conduct and codes of ethics.",2
5,SSAB,2016,Total weight of waste by type and disposal method.,0
5,SSAB,2016,Communication and training on anti-corruption policies and procedures.,2
5,SSAB,2017,We are committed to reducing CO2 emissions,0
5,SSAB,2017,"We take economic, social and environmental responsibility into consideration in our business",4
5,SSAB,2017,Our long-term safety goal is zero accidents,2
5,SSAB,2017,We are committed to striving for zero accidents through our safety work,2
5,SSAB,2017,We are committed to achieving our financial targets,4
5,SSAB,2017,We are committed to achieving our sustainability targets,4
5,SSAB,2017,We are committed to achieving our long-term value,4
5,SSAB,2017,Transparency and reliable reporting,2
5,SSAB,2017,We are committed to striving for long-term value through our business,4
5,SSAB,2018,"Increased demand for steel in construction, infrastructure and the energy sector",1
5,SSAB,2018,"Increased demand for sustainable, recyclable material e.g. steel",1
5,SSAB,2018,Optimization of available steel capacity to promote more resource and CO2 efficient products/processes,1
5,SSAB,2018,"Using robotics, machine learning and advanced analytics to improve production stability and process efficiency",0
5,SSAB,2018,Developing new digital tools such as SSAB SmartSteel to help customers realize the full potential of our steel,1
5,SSAB,2018,Taking an active stance for free and fair trade,4
5,SSAB,2018,Advancing SSAB’s position in emerging markets for high-strength steels,1
5,SSAB,2018,Helping customers to innovate their products and reducing their CO2 footprint through upgrading to high-strength steel,1
5,SSAB,2018,Environmental benefits from high-strength steels,1
5,SSAB,2018,SSAB EcoUpgraded concept,1
5,SSAB,2019,Long-term value creation realization is ongoing,4
5,SSAB,2019,Responsible governance,2
5,SSAB,2019,Transparency and reliable reporting,2
5,SSAB,2019,Our long-term safety goal is zero accidents and we are committed to striving for this through our safety work,2
5,SSAB,2019,Commitment to reducing CO2 emissions both short and long-term,0
5,SSAB,2020,Use better steel: SSAB’s customers benefit from leading CO2 efficient production,1
5,SSAB,2020,Use steel better: Environmental benefits with SSAB’s steels,1
5,SSAB,2020,Go fossil-free: SSAB to be the first in fossil-free steel with HYBRIT technology,1
5,SSAB,2020,Global megatrends affecting SSAB,1
5,SSAB,2020,Steel market and SSAB’s position,1
5,SSAB,2020,SSAB Special Steels,1
5,SSAB,2020,SSAB Europe,1
5,SSAB,2020,SSAB Americas,1
5,SSAB,2020,Research and Development,0
5,SSAB,2020,The world’s first pilot plant for fossil-free steel,1
5,SSAB,2020,Sustainability Report,2
5,SSAB,2020,Financial Reports 2020,2
5,SSAB,2020,Externally assured sustainability information compliant with the GRI Standards,2
5,SSAB,2020,SSAB ANNUAL REPORT 2020,1
5,SSAB,2021,"Reducing emissions, noise and other inconveniences",0
5,SSAB,2021,Involvement in many research projects on technological developments,0
5,SSAB,2021,Developing procedure on action where industry associations are not aligned with Paris Agreement’s goals,5
5,SSAB,2021,"Our strategy and targets, including sustainability",4
5,SSAB,2021,SSAB’s transformation to fossil-freedom and fossil-free steel,1
5,SSAB,2021,Commitment to CO 2 reduction both short and long-term,0
5,SSAB,2021,Long-term value creation,4
5,SSAB,2021,Responsible governance,2
5,SSAB,2021,"Informing on opportunities, challenges and needs connected to industrial decarbonization",5
5,SSAB,2021,Public funding,5
5,SSAB,2022,"Increasing demand for SSAB's products, for example, high-strength steel and, going forward, fossil-free steel",1
5,SSAB,2022,Decreasing global trade in recent years,1
5,SSAB,2022,Temporary shortage of input materials in the European steel industry because of Russia's invasion of Ukraine,1
5,SSAB,2022,Continued protectionism in many parts of the world,1
5,SSAB,2022,SSAB has a leading position in transformation of the steel industry,1
5,SSAB,2023,Commitment on sustainable development strategy,4
5,SSAB,2023,Compliance with laws and regulations,2
5,SSAB,2023,Communication and training ahead about anti-corruption principles and procedures,2
5,SSAB,2023,Direct GHG emissions (Scope 1),0
5,SSAB,2024,Pillar 3 reference,0
5,SSAB,2024,Disclosure requirements in ESRS,2
5,SSAB,2024,Included in the Sustainability Report Page,2
5,SSAB,2024,"ESRS E1-4 34 ● ● ● Included 88, 93",0
5,SSAB,2024,ESRS E1-6 44 ● ● ● Not included (refer to GRI reference E1-6),0
5,SSAB,2024,ESRS E1-6 53-55 ● ● ● Not included (refer to GRI reference E1-6),0
5,SSAB,2024,ESRS E2-2 Included 94,0
5,SSAB,2024,ESRS E2-3 Included 95,0
5,SSAB,2024,ESRS E2-4 28 ● Not included (refer to GRI reference E2-4),0
5,SSAB,2024,ESRS E3-1 9 ● Not included (not material),0
5,SSAB,2024,ESRS E3-1 13 ● Not included (not material),0
5,SSAB,2024,ESRS E3-1 14 ● Not included (not material),0
5,SSAB,2024,ESRS E3-4 28c ● Not included (not material),0
5,SSAB,2024,ESRS E3-4 29 ● Not included (not material),0
5,SSAB,2024,ESRS S1 SBM-2 Included 107,0
5,SSAB,2024,ESRS S1 SBM-3 Included 107,0
5,SSAB,2024,ESRS S1-1 Included 104,0
5,SSAB,2024,ESRS S1-1 20 ● Included 104,0
5,SSAB,2024,ESRS S1-1 21 ● Included 104,0
5,SSAB,2024,ESRS S1-1 22 ● Included 104,0
5,SSAB,2024,ESRS S1-1 23 ● Included 104,0
5,SSAB,2024,ESRS S1-2 Included 105,0
5,SSAB,2024,"ESRS S1-3 Included 105, 115",0
5,SSAB,2024,ESRS S1-3 32c ● Included 104,0
5,SSAB,2024,ESRS S1-4 Included 105,0
5,SSAB,2024,ESRS S1-5 Included 106,0
5,SSAB,2024,ESRS S1-6 Included 106,0
5,SSAB,2024,ESRS S1-7 Included 106,0
5,SSAB,2024,ESRS G1 GOV-1 Included,0
5,SSAB,2024,ESRS G1 GOV-1 Included 43,0
12,Dillinger,2019,Reduction of carbon dioxide emissions,0
12,Dillinger,2019,Compliance with environmental standards,2
12,Dillinger,2019,Compliance with social standards,2
12,Dillinger,2019,Reduction of GHG emissions,0
12,Dillinger,2019,Development of new technologies,0
12,Dillinger,2019,Testing of new technologies on an industrial scale,0
12,Dillinger,2021,External incentives,0
12,Dillinger,2021,Pressure from logistic bottlenecks,2
12,Dillinger,2022,Allocation of free allowances on the blast furnace converter route,1
12,Dillinger,2022,Policy framework for decarbonisation on competitive terms,5
12,Dillinger,2022,Sustainable Development Goals,4
12,Dillinger,2022,Carbon reduction target for 2030,0
8,Voestalpine,2013,Pressure from regulatory requirements to reduce GHG emissions,2
8,Voestalpine,2013,Commitment to reduce dependence on fossil fuels,0
8,Voestalpine,2013,Commitment to achieve carbon neutrality,3
8,Voestalpine,2013,Commitment to reduce emissions from supply chain,0
8,Voestalpine,2015,Pressure from regulatory requirements and climate policies,2
8,Voestalpine,2015,Commitment to reducing greenhouse gas emissions,0
8,Voestalpine,2015,Pressure from investor expectations for decarbonization,5
8,Voestalpine,2018,Commitment to SDGs as a guideline for actions,4
8,Voestalpine,2019,Opportunity to increase competitiveness through sustainable production processes,0
8,Voestalpine,2019,Incentive to reduce costs associated with climate change,0
8,Voestalpine,2019,Pressure from investors to align with Paris Agreement,5
8,Voestalpine,2019,Commitment to reduce greenhouse gas emissions by 50% by 2030,0
8,Voestalpine,2019,Commitment to achieve carbon neutrality in operations by 2025,3
8,Voestalpine,2019,Incentive to reduce risks associated with climate change,0
8,Voestalpine,2019,Pressure from NGOs to reduce environmental impact,2
8,Voestalpine,2019,Commitment to reduce Scope 3 emissions by 50% by 2030,0
8,Voestalpine,2019,Opportunity to develop new technologies through R&D investments,0
8,Voestalpine,2019,Incentive to improve supply chain resilience through sustainable practices,0
8,Voestalpine,2019,Commitment to achieve carbon neutrality in supply chain by 2050,3
8,Voestalpine,2019,Incentive to reduce waste and emissions in operations,0
8,Voestalpine,2019,Pressure from regulators to implement sustainable practices,2
8,Voestalpine,2019,Commitment to reduce emissions from steel production by 50% by 2030,1
8,Voestalpine,2019,Opportunity to develop new business models through sustainable steel production,1
8,Voestalpine,2019,Incentive to improve supply chain transparency through sustainable practices,0
8,Voestalpine,2020,Employee survey results indicating a commitment to decarbonisation,5
8,Voestalpine,2020,Research and development for climate-friendly steel production,1
