company_id,company,year,barriers,topic
5,SSAB,2018,Financial implications due to climate change,1
5,SSAB,2018,Other risks due to climate change,1
5,SSAB,2018,High energy intensity,6
5,SSAB,2018,Difficulty in reducing energy consumption,6
5,SSAB,2018,Limited availability of recycled input materials,2
5,SSAB,2018,Limited availability of information on disposal methods for waste,-1
5,SSAB,2019,Financial implications due to climate change,1
5,SSAB,2019,Other risks due to climate change,1
5,SSAB,2019,Opportunities due to climate change,1
5,SSAB,2019,Anti-corruption policies and procedures communication and training,0
5,SSAB,2019,Anti-corruption policies and procedures effectiveness,0
5,SSAB,2019,Limited availability of recycled input materials data,2
5,SSAB,2019,Limited availability of information on disposal methods at a group level,-1
5,SSAB,2019,Limited availability of information on disposal methods due to reporting development,-1
5,SSAB,2019,Limited availability of information on energy consumption intensity,6
5,SSAB,2019,Limited availability of information on energy reduction,6
5,SSAB,2019,Limited availability of information on water withdrawal by source,0
5,SSAB,2019,Limited availability of information on direct GHG emissions,16
5,SSAB,2019,Limited availability of information on indirect (Scope 2) GHG emissions,16
5,SSAB,2019,Limited availability of information on indirect (Scope 3) GHG emissions,16
5,SSAB,2019,Limited availability of information on GHG emissions intensity,16
5,SSAB,2019,Limited availability of information on GHG emissions reduction,16
5,SSAB,2019,Limited availability of information on nitrogen oxides (NO X ) and sulfur oxides (SO X ) emissions,16
5,SSAB,2019,Limited availability of information on other significant air emissions,16
5,SSAB,2020,High production costs of fossil-free steel,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies,0
5,SSAB,2020,High upfront investment costs for new production technologies,0
5,SSAB,2020,Limited scalability of current low-carbon steel production methods,0
5,SSAB,2020,High costs of raw materials for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon energy sources,4
5,SSAB,2020,High costs of carbon capture and storage technologies,8
5,SSAB,2020,Limited public acceptance of new low-carbon steel production technologies,15
5,SSAB,2020,High costs of recycling and reusing steel,0
5,SSAB,2020,Limited availability of low-carbon steel recycling technologies,0
5,SSAB,2020,High costs of implementing new production processes,0
5,SSAB,2020,Limited availability of skilled labor for low-carbon steel production,0
5,SSAB,2020,High costs of research and development for new low-carbon steel technologies,0
5,SSAB,2020,Limited availability of funding for low-carbon steel production projects,0
5,SSAB,2020,High costs of implementing new regulations and standards for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production data and metrics,0
5,SSAB,2020,High costs of monitoring and reporting on low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production standards and certifications,0
5,SSAB,2020,High costs of ensuring supply chain transparency and accountability for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production certifications and labels,0
5,SSAB,2020,High costs of implementing new supply chain management systems for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production data and analytics tools,0
5,SSAB,2020,High costs of ensuring compliance with low-carbon steel production regulations and standards,0
5,SSAB,2020,Limited availability of low-carbon steel production training and education programs,0
5,SSAB,2020,High costs of implementing new low-carbon steel production technologies in existing production facilities,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that are compatible with existing production equipment,0
5,SSAB,2020,High costs of ensuring the quality and consistency of low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can produce high-quality steel,0
5,SSAB,2020,High costs of implementing new quality control measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can produce steel with consistent properties,0
5,SSAB,2020,High costs of ensuring the safety and health of workers in low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce worker exposure to hazardous materials,0
5,SSAB,2020,High costs of implementing new safety and health measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce energy consumption,0
5,SSAB,2020,High costs of implementing new energy efficiency measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce water consumption,0
5,SSAB,2020,High costs of implementing new water efficiency measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce waste generation,0
5,SSAB,2020,High costs of implementing new waste reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce greenhouse gas emissions,0
5,SSAB,2020,High costs of implementing new greenhouse gas reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce air pollution,0
5,SSAB,2020,High costs of implementing new air pollution reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce noise pollution,0
5,SSAB,2020,High costs of implementing new noise pollution reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce soil pollution,0
5,SSAB,2020,High costs of implementing new soil pollution reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce water pollution,0
5,SSAB,2020,High costs of implementing new water pollution reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce land pollution,0
5,SSAB,2020,High costs of implementing new land pollution reduction measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce waste disposal costs,0
5,SSAB,2020,High costs of implementing new waste disposal measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce energy costs,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce raw material costs,0
5,SSAB,2020,High costs of implementing new raw material efficiency measures for low-carbon steel production,0
5,SSAB,2020,Limited availability of low-carbon steel production technologies that can reduce labor costs,0
