topic_id,label,doc_count,keywords
-1,Outliers (unassigned),250,"level playing, emissions reduction, reduce carbon, carbon footprint, carbon emissions, sustainable, decarbonization technologies, competitive, environmental management, environmental"
0,Emissions Reduction Commitment,199,"reduce emissions, emissions reduction, gas emissions, emission reduction, emissions incentive, co2 emissions, commitment reduce, ghg emissions, greenhouse gas, emissions supply"
1,Low Carbon Steel Transition,178,"steel, technologies steel, emissions steel, steel business, non steel, carbon emissions, low carbon, carbon neutral, co2 emissions, zero carbon"
2,Environmental Compliance Pressure,83,"environmental compliance, compliance, regulatory emissions, environmental protection, regulations, environmental burden, environmental, reduce environmental, environment business, standards pressure"
3,Carbon Neutrality Goal,69,"carbon neutrality, carbon neutral, contribute carbon, opportunity carbon, implementing carbon, carbon, neutrality 2050, climate change, neutral, neutrality contribution"
4,Sustainable Development Commitment,59,"sustainable development, development commitment, sustainable, sustainability, global sustainability, sustainable world, sustainable society, sustainability trends, achievement sustainable, environmental responsibility"
5,Decarbonization Investment Plan,58,"decarbonization plan, decarbonisation, carbon future, decarbonization, funding, carbon intensity, carbon world, investors, low carbon, clean energy"
6,Sustainable Business Practices,57,"sustainable business, sustainable, sustainability, sustainable practices, sustainability performance, contribute sustainable, focus sustainability, demand sustainable, sustainable world, competitiveness sustainable"
7,Energy Efficiency Costs,55,"energy efficiency, efficiency cost, energy management, energy consumption, energy conservation, efficiency, energy usage, reduce costs, reduce energy, energy"
8,Climate Change Mitigation,45,"climate change, addressing climate, climate challenge, climate friendly, targets climate, climate policies, climate policy, carbon leakage, environmental actions, reducing emissions"
9,Community Engagement Strategy,41,"communities, , , , , , , , , "
10,Carbon Emissions Reduction,31,"reduce carbon, co2 emissions, emissions steel, carbon footprint, ghg emissions, reduce co2, fuels steel, emissions supply, production steel, reduce energy"
11,Net Zero Targets,28,"zero target, net zero, targets, targets commitment, target, zero, zero 2050, targets climate, , "
12,Low Carbon Technologies,27,"low carbon, low emissions, carbon technologies, reduce carbon, carbon future, carbon emissions, carbon pricing, reducing carbon, low emission, carbon footprint"
13,Renewable Energy Incentives,26,"renewable energy, incentive invest, renewable, incentive, energy, investment, , , , "
14,Circular Economy Recycling,25,"recycling, circular economy, , , , , , , , "
15,Employee Engagement Survey,24,"employee survey, employee, employees, , , , , , , "
